Channel Id,Channel Url,Channel Title
UCnbvPS_rXp4PC21PG2k1UVg,http://www.youtube.com/channel/UCnbvPS_rXp4PC21PG2k1UVg,Gaming Historian
UCoL8olX-259lS1N6QPyP4IQ,http://www.youtube.com/channel/UCoL8olX-259lS1N6QPyP4IQ,Action Retro
UCoLccjs6jbHa4soeYDgbKTg,http://www.youtube.com/channel/UCoLccjs6jbHa4soeYDgbKTg,Modern Classic
UCoZQiN0o7f36H7PaW4fVhFw,http://www.youtube.com/channel/UCoZQiN0o7f36H7PaW4fVhFw,Retro Game Corps
UCoxcjq-8xIDTYp3uz647V5A,http://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Numberphile
UCpDmn2FfVYdPIDwRTcf5-OA,http://www.youtube.com/channel/UCpDmn2FfVYdPIDwRTcf5-OA,iilluminaughtii
UCpMcsdZf2KkAnfmxiq2MfMQ,http://www.youtube.com/channel/UCpMcsdZf2KkAnfmxiq2MfMQ,Arvin Ash
UCpNs490-gDnuTaMXO3HWXFw,http://www.youtube.com/channel/UCpNs490-gDnuTaMXO3HWXFw,Jay Exci
UCpr4bfsreWKhRW-3fUv-I7Q,http://www.youtube.com/channel/UCpr4bfsreWKhRW-3fUv-I7Q,Thinkology
UCpsjEC4PlHmhM84yX5Y3rrg,http://www.youtube.com/channel/UCpsjEC4PlHmhM84yX5Y3rrg,FanboyFlicks
UCq6VFHwMzcMXbuKyG7SQYIg,http://www.youtube.com/channel/UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0
UCqdcfoz9hDXCXbJDaklkwjQ,http://www.youtube.com/channel/UCqdcfoz9hDXCXbJDaklkwjQ,Bricky
UCrMePiHCWG4Vwqv3t7W9EFg,http://www.youtube.com/channel/UCrMePiHCWG4Vwqv3t7W9EFg,SciShow Space
UCrTNhL_yO3tPTdQ5XgmmWjA,http://www.youtube.com/channel/UCrTNhL_yO3tPTdQ5XgmmWjA,RedLetterMedia
UCsgv2QHkT2ljEixyulzOnUQ,http://www.youtube.com/channel/UCsgv2QHkT2ljEixyulzOnUQ,AngryJoeShow
UCtESv1e7ntJaLJYKIO1FoYw,http://www.youtube.com/channel/UCtESv1e7ntJaLJYKIO1FoYw,Periodic Videos
UCtMVHI3AJD4Qk4hcbZnI9ZQ,http://www.youtube.com/channel/UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers
UCtZO3K2p8mqFwiKWb9k7fXA,http://www.youtube.com/channel/UCtZO3K2p8mqFwiKWb9k7fXA,TechAltar
